COREF,chapter,cat,COREF_head,count
288,0,LOC,-1,1
288,1,LOC,-1,2
288,2,LOC,-1,1
288,3,GPE,-1,1
288,3,LOC,-1,3
288,5,GPE,-1,1
288,7,GPE,-1,2
288,8,LOC,-1,1
288,9,LOC,-1,2
288,12,LOC,-1,1
288,15,GPE,-1,1
289,0,FAC,-1,1
290,0,PER,-1,1
292,0,LOC,-1,1
293,0,PER,-1,1
294,0,PER,-1,1
296,0,PER,-1,1
296,21,PER,-1,1
297,0,PER,-1,1
298,0,PER,-1,4
300,0,PER,-1,1
301,0,PER,-1,1
302,0,PER,-1,1
304,0,PER,-1,2
305,0,PER,-1,1
306,0,PER,-1,1
306,19,PER,-1,1
307,0,GPE,-1,2
307,2,GPE,-1,1
307,19,GPE,-1,1
308,0,PER,-1,1
309,0,PER,-1,1
310,0,PER,-1,1
311,0,FAC,-1,1
311,2,FAC,-1,4
311,3,FAC,-1,1
311,5,FAC,-1,1
311,8,FAC,-1,1
311,9,FAC,-1,1
311,11,FAC,-1,6
311,12,FAC,-1,1
311,14,FAC,-1,2
311,15,FAC,-1,1
311,20,FAC,-1,2
311,21,FAC,-1,1
312,0,PER,-1,1
312,3,PER,-1,1
312,22,PER,-1,1
313,0,PER,-1,4
313,1,PER,-1,1
313,4,PER,-1,5
313,11,PER,-1,16
313,12,PER,-1,2
